exp,fase,mudanca,tecnica,top_k,hit@5,recall@5,mrr,ndcg@10,ragas_faith,ragas_ans_rel,ragas_ctx_recall,latencia_media_s,n_queries,n_falhas,observacao
exp01_baseline,Fase 0,"baseline: chunking=auto (hierarquico), embedding=nomic-embed-text, busca=baseline, top_k=10",baseline,10,0.6333,0.4222,0.3512,0.3381,,,,2.721,30,0,
exp02_extracao_pymupdf,Fase 1,"extracao=PyMuPDF (vs Docling no exp01), chunking=hierarquico fixo p/ isolar a variavel",baseline,10,0.7,0.4889,0.4356,0.4147,,,,2.584,30,0,11 titulos(Docling) vs 0(PyMuPDF); 76146 vs 78430 caracteres
exp03_chunk_fixo,Fase 2,"chunking=fixo (vs hierarquico no exp01), extracao=Docling fixa",baseline,10,0.4667,0.3056,0.2869,0.3121,,,,2.568,30,0,72 chunks gerados
exp04_chunk_recursivo,Fase 2,"chunking=recursivo (vs hierarquico no exp01), extracao=Docling fixa",baseline,10,0.6,0.3722,0.4179,0.426,,,,2.902,30,0,81 chunks gerados
exp05_chunk_sentenca_janela,Fase 2,"chunking=sentenca_janela (vs hierarquico no exp01), extracao=Docling fixa",baseline,10,0.5333,0.3833,0.3382,0.4155,,,,2.582,30,0,240 chunks gerados
exp06_chunk_semantico,Fase 2,"chunking=semantico (vs hierarquico no exp01), extracao=Docling fixa",baseline,10,0.4,0.3167,0.3361,0.3577,,,,2.567,30,0,96 chunks gerados
exp07_embed_bge_m3_latest,Fase 3,"embedding=bge-m3:latest (vs nomic-embed-text no exp01, dim=1024), chunking=hierarquico e extracao=Docling fixos",baseline,10,0.7333,0.5722,0.5049,0.6176,,,,3.444,30,0,"143 chunks, dimensao=1024"
exp08_embed_mxbai_embed_large_latest,Fase 3,"embedding=mxbai-embed-large:latest (vs nomic-embed-text no exp01, dim=1024), chunking=hierarquico e extracao=Docling fixos",baseline,10,0.4667,0.3278,0.269,0.2531,,,,2.597,30,0,"143 chunks, dimensao=1024"
exp10_embed_qwen3_embedding_4b,Fase 3,"embedding=qwen3-embedding:4b (vs nomic-embed-text no exp01, dim=2560), chunking=hierarquico e extracao=Docling fixos",baseline,10,0.9333,0.7,0.6608,0.7754,,,,3.169,30,0,"143 chunks, dimensao=2560"
exp11_embed_qwen3_embedding_latest,Fase 3,"embedding=qwen3-embedding:latest (vs nomic-embed-text no exp01, dim=4096), chunking=hierarquico e extracao=Docling fixos",baseline,10,0.9333,0.7333,0.6147,0.7702,,,,3.421,30,0,"143 chunks, dimensao=4096"
exp09_embed_qwen3_embedding_0_6b,Fase 3,"embedding=qwen3-embedding:0.6b (vs nomic-embed-text no exp01, dim=1024), chunking=hierarquico e extracao=Docling fixos",baseline,10,0.8333,0.6389,0.5272,0.6178,,,,3.148,30,0,"143 chunks, dimensao=1024"
